        Frequency / GHz                VSWR1/abs,linear
                 3.47984                       1.3680166
               3.4800501                       1.3649615
               3.4802599                        1.361913
               3.4804699                       1.3588712
                 3.48068                       1.3558359
                 3.48089                       1.3528073
               3.4811001                       1.3497851
               3.4813099                       1.3467697
               3.4815199                       1.3437608
                 3.48173                       1.3407585
                 3.48194                       1.3377628
               3.4821501                       1.3347738
               3.4823599                       1.3317913
               3.4825699                       1.3288154
                 3.48278                       1.3258462
                 3.48299                       1.3228836
               3.4832001                       1.3199276
               3.4834099                       1.3169782
               3.4836199                       1.3140354
                 3.48383                       1.3110993
                 3.48404                       1.3081698
               3.4842501                        1.305247
               3.4844601                       1.3023307
               3.4846699                       1.2994212
                 3.48488                       1.2965183
                 3.48509                       1.2936221
               3.4853001                       1.2907325
               3.4855101                       1.2878496
               3.4857199                       1.2849734
                 3.48593                       1.2821039
                 3.48614                        1.279241
               3.4863501                       1.2763849
               3.4865601                       1.2735355
               3.4867699                       1.2706929
                 3.48698                        1.267857
                 3.48719                       1.2650278
               3.4874001                       1.2622054
               3.4876101                       1.2593898
               3.4878199                        1.256581
                 3.48803                        1.253779
                 3.48824                       1.2509838
               3.4884501                       1.2481954
               3.4886601                        1.245414
               3.4888699                       1.2426393
                 3.48908                       1.2398716
                 3.48929                       1.2371108
                  3.4895                       1.2343569
               3.4897101                         1.23161
               3.4899199                         1.22887
               3.4901299                       1.2261371
                 3.49034                       1.2234112
                 3.49055                       1.2206923
               3.4907601                       1.2179806
               3.4909699                       1.2152759
               3.4911799                       1.2125785
                 3.49139                       1.2098881
                  3.4916                       1.2072051
               3.4918101                       1.2045293
               3.4920199                       1.2018608
               3.4922299                       1.1991996
                 3.49244                       1.1965459
                 3.49265                       1.1938995
               3.4928601                       1.1912607
               3.4930699                       1.1886294
               3.4932799                       1.1860057
                 3.49349                       1.1833897
                  3.4937                       1.1807814
               3.4939101                       1.1781809
               3.4941199                       1.1755883
               3.4943299                       1.1730036
                 3.49454                       1.1704269
                 3.49475                       1.1678583
               3.4949601                       1.1652979
               3.4951701                       1.1627459
               3.4953799                       1.1602022
                 3.49559                        1.157667
                  3.4958                       1.1551404
               3.4960101                       1.1526226
               3.4962201                       1.1501137
               3.4964299                       1.1476137
                 3.49664                       1.1451229
                 3.49685                       1.1426415
               3.4970601                       1.1401695
               3.4972701                       1.1377072
               3.4974799                       1.1352547
                 3.49769                       1.1328123
                  3.4979                       1.1303802
               3.4981101                       1.1279586
               3.4983201                       1.1255478
               3.4985299                        1.123148
                 3.49874                       1.1207596
                 3.49895                       1.1183828
               3.4991601                        1.116018
               3.4993701                       1.1136656
               3.4995799                       1.1113259
                 3.49979                       1.1089994
                     3.5                       1.1066866
                 3.50021                       1.1043879
               3.5004201                       1.1021038
               3.5006299                        1.099835
               3.5008399                       1.0975821
                 3.50105                       1.0953457
                 3.50126                       1.0931267
               3.5014701                       1.0909257
               3.5016799                       1.0887438
               3.5018899                       1.0865819
                  3.5021                       1.0844409
                 3.50231                       1.0823222
               3.5025201                       1.0802268
               3.5027299                       1.0781563
               3.5029399                        1.076112
                 3.50315                       1.0740957
                 3.50336                       1.0721091
               3.5035701                       1.0701542
               3.5037799                       1.0682333
               3.5039899                       1.0663485
                  3.5042                       1.0645027
                 3.50441                       1.0626985
               3.5046201                       1.0609391
               3.5048299                       1.0592279
               3.5050399                       1.0575686
                 3.50525                       1.0559651
                 3.50546                       1.0544219
               3.5056701                       1.0529435
               3.5058801                       1.0515348
               3.5060899                       1.0502013
                  3.5063                       1.0489483
                 3.50651                       1.0477817
               3.5067201                       1.0467074
               3.5069301                       1.0457313
               3.5071399                       1.0448594
                 3.50735                       1.0440973
                 3.50756                       1.0434504
               3.5077701                       1.0429236
               3.5079801                        1.042521
               3.5081899                        1.042246
                  3.5084                       1.0421007
                 3.50861                       1.0420866
               3.5088201                       1.0422036
               3.5090301                       1.0424509
               3.5092399                       1.0428261
                 3.50945                       1.0433262
                 3.50966                       1.0439472
               3.5098701                       1.0446843
               3.5100801                       1.0455323
               3.5102899                       1.0464854
                  3.5105                       1.0475378
                 3.51071                       1.0486834
                 3.51092                       1.0499165
               3.5111301                       1.0512311
               3.5113399                       1.0526216
               3.5115499                       1.0540828
                 3.51176                       1.0556096
                 3.51197                       1.0571973
               3.5121801                       1.0588415
               3.5123899                       1.0605381
               3.5125999                       1.0622833
                 3.51281                       1.0640738
                 3.51302                       1.0659063
               3.5132301                        1.067778
               3.5134399                       1.0696862
               3.5136499                       1.0716285
                 3.51386                       1.0736027
                 3.51407                       1.0756067
               3.5142801                       1.0776387
               3.5144899                       1.0796972
               3.5146999                       1.0817804
                 3.51491                       1.0838871
                 3.51512                       1.0860158
               3.5153301                       1.0881656
               3.5155399                       1.0903353
               3.5157499                       1.0925238
                 3.51596                       1.0947304
                 3.51617                       1.0969542
               3.5163801                       1.0991944
               3.5165901                       1.1014504
               3.5167999                       1.1037214
                 3.51701                       1.1060069
                 3.51722                       1.1083064
               3.5174301                       1.1106193
               3.5176401                       1.1129452
               3.5178499                       1.1152836
                 3.51806                       1.1176341
                 3.51827                       1.1199965
               3.5184801                       1.1223702
               3.5186901                        1.124755
               3.5188999                       1.1271507
                 3.51911                       1.1295568
                 3.51932                       1.1319732
               3.5195301                       1.1343997
               3.5197401                       1.1368359
               3.5199499                       1.1392817
                 3.52016                       1.1417369
                 3.52037                       1.1442013
               3.5205801                       1.1466747
               3.5207901                        1.149157
               3.5209999                        1.151648
                 3.52121                       1.1541476
                 3.52142                       1.1566556
                 3.52163                       1.1591719
               3.5218401                       1.1616964
               3.5220499                        1.164229
                 3.52226                       1.1667695
                 3.52247                       1.1693179
                 3.52268                       1.1718741
               3.5228901                       1.1744381
               3.5230999                       1.1770096
               3.5233099                       1.1795886
                 3.52352                       1.1821751
                 3.52373                        1.184769
               3.5239401                       1.1873702
               3.5241499                       1.1899786
               3.5243599                       1.1925943
                 3.52457                        1.195217
                 3.52478                       1.1978469
               3.5249901                       1.2004838
               3.5251999                       1.2031277
               3.5254099                       1.2057786
                 3.52562                       1.2084363
                 3.52583                       1.2111009
               3.5260401                       1.2137723
               3.5262499                       1.2164505
               3.5264599                       1.2191354
                 3.52667                        1.221827
                 3.52688                       1.2245253
               3.5270901                       1.2272303
               3.5272999                       1.2299419
               3.5275099                       1.2326601
                 3.52772                       1.2353848
                 3.52793                       1.2381161
               3.5281401                       1.2408539
               3.5283501                       1.2435982
               3.5285599                        1.246349
                 3.52877                       1.2491062
                 3.52898                       1.2518698
               3.5291901                       1.2546398
               3.5294001                       1.2574163
               3.5296099                       1.2601991
                 3.52982                       1.2629883
                 3.53003                       1.2657838
               3.5302401                       1.2685857
               3.5304501                       1.2713939
               3.5306599                       1.2742084
                 3.53087                       1.2770292
                 3.53108                       1.2798562
               3.5312901                       1.2826895
               3.5315001                       1.2855291
               3.5317099                       1.2883749
                 3.53192                        1.291227
                 3.53213                       1.2940852
                 3.53234                       1.2969497
               3.5325501                       1.2998204
               3.5327599                       1.3026973
                 3.53297                       1.3055804
                 3.53318                       1.3084696
                 3.53339                       1.3113651
               3.5336001                       1.3142667
               3.5338099                       1.3171744
               3.5340199                       1.3200884
                 3.53423                       1.3230084
                 3.53444                       1.3259346
               3.5346501                        1.328867
               3.5348599                       1.3318054
               3.5350699                         1.33475
                 3.53528                       1.3377008
                 3.53549                       1.3406576
               3.5357001                       1.3436206
               3.5359099                       1.3465896
               3.5361199                       1.3495648
                 3.53633                       1.3525461
                 3.53654                       1.3555334
               3.5367501                       1.3585269
               3.5369599                       1.3615264
               3.5371699                        1.364532
                 3.53738                       1.3675438
                 3.53759                       1.3705616
               3.5378001                       1.3735855
               3.5380099                       1.3766154
               3.5382199                       1.3796514
                 3.53843                       1.3826935
                 3.53864                       1.3857417
               3.5388501                       1.3887959
               3.5390601                       1.3918562
               3.5392699                       1.3949226
                 3.53948                        1.397995
                 3.53969                       1.4010735
               3.5399001                        1.404158
               3.5401101                       1.4072486
               3.5403199                       1.4103453
                 3.54053                        1.413448
                 3.54074                       1.4165567
               3.5409501                       1.4196715
               3.5411601                       1.4227924
               3.5413699                       1.4259193
                 3.54158                       1.4290523
                 3.54179                       1.4321913
               3.5420001                       1.4353364
               3.5422101                       1.4384875
               3.5424199                       1.4416446
                 3.54263                       1.4448078
                 3.54284                        1.447977
               3.5430501                       1.4511523
               3.5432601                       1.4543336
               3.5434699                        1.457521
                 3.54368                       1.4607145
                 3.54389                       1.4639139
                  3.5441                       1.4671193
               3.5443101                       1.4703309
               3.5445199                       1.4735485
               3.5447299                       1.4767721
                 3.54494                       1.4800018
                 3.54515                       1.4832375
               3.5453601                       1.4864792
               3.5455699                        1.489727
               3.5457799                       1.4929808
                 3.54599                       1.4962407
                  3.5462                       1.4995066
               3.5464101                       1.5027785
               3.5466199                       1.5060564
               3.5468299                       1.5093405
                 3.54704                       1.5126306
                 3.54725                       1.5159266
               3.5474601                       1.5192288
               3.5476699                        1.522537
               3.5478799                       1.5258512
                 3.54809                       1.5291715
                  3.5483                       1.5324977
               3.5485101                         1.53583
               3.5487199                       1.5391684
               3.5489299                       1.5425129
                 3.54914                       1.5458633
                 3.54935                       1.5492198
               3.5495601                       1.5525824
               3.5497701                       1.5559509
               3.5499799                       1.5593256
                 3.55019                       1.5627062
                  3.5504                       1.5660929
               3.5506101                       1.5694857
               3.5508201                       1.5728844
               3.5510299                       1.5762892
                 3.55124                       1.5797001
                 3.55145                        1.583117
               3.5516601                       1.5865399
               3.5518701                       1.5899689
               3.5520799                        1.593404
                 3.55229                        1.596845
                  3.5525                       1.6002921
               3.5527101                       1.6037454
               3.5529201                       1.6072045
               3.5531299                       1.6106697
                 3.55334                       1.6141411
                 3.55355                       1.6176183
               3.5537601                       1.6211017
               3.5539701                       1.6245911
               3.5541799                       1.6280866
                 3.55439                       1.6315881
                  3.5546                       1.6350957
                 3.55481                       1.6386092
               3.5550201                       1.6421289
               3.5552299                       1.6456545
               3.5554399                       1.6491862
                 3.55565                        1.652724
                 3.55586                       1.6562678
               3.5560701                       1.6598177
               3.5562799                       1.6633736
               3.5564899                       1.6669355
                  3.5567                       1.6705034
                 3.55691                       1.6740775
               3.5571201                       1.6776576
               3.5573299                       1.6812438
               3.5575399                       1.6848359
                 3.55775                       1.6884342
                 3.55796                       1.6920382
               3.5581701                       1.6956485
               3.5583799                       1.6992649
               3.5585899                       1.7028873
                  3.5588                       1.7065158
                 3.55901                       1.7101502
               3.5592201                       1.7137906
               3.5594299                       1.7174372
               3.5596399                       1.7210899
                 3.55985                       1.7247485
                 3.56006                       1.7284132
               3.5602701                        1.732084
               3.5604801                       1.7357607
               3.5606899                       1.7394435
                  3.5609                       1.7431325
                 3.56111                       1.7468274
               3.5613201                       1.7505284
               3.5615301                       1.7542353
               3.5617399                       1.7579484
                 3.56195                       1.7616674
                 3.56216                       1.7653926
               3.5623701                       1.7691236
               3.5625801                       1.7728609
               3.5627899                       1.7766041
                   3.563                       1.7803535
                 3.56321                       1.7841088
               3.5634201                       1.7878702
               3.5636301                       1.7916375
               3.5638399                       1.7954111
                 3.56405                       1.7991905
                 3.56426                       1.8029761
               3.5644701                       1.8067678
               3.5646801                       1.8105653
               3.5648899                        1.814369
                  3.5651                       1.8181787
                 3.56531                       1.8219944
                 3.56552                       1.8258163
               3.5657301                        1.829644
               3.5659399                       1.8334778
                 3.56615                       1.8373178
                 3.56636                       1.8411638
                 3.56657                       1.8450157
               3.5667801                       1.8488738
               3.5669899                       1.8527378
               3.5671999                       1.8566079
                 3.56741                       1.8604841
                 3.56762                       1.8643663
               3.5678301                       1.8682545
               3.5680399                       1.8721487
               3.5682499                       1.8760488
                 3.56846                       1.8799551
                 3.56867                       1.8838675
               3.5688801                       1.8877859
               3.5690899                       1.8917103
               3.5692999                       1.8956407
                 3.56951                       1.8995772
                 3.56972                       1.9035198
               3.5699301                       1.9074682
               3.5701399                       1.9114227
               3.5703499                       1.9153833
                 3.57056                         1.91935
                 3.57077                       1.9233227
               3.5709801                       1.9273014
               3.5711901                        1.931286
               3.5713999                       1.9352768
                 3.57161                       1.9392735
                 3.57182                       1.9432762
               3.5720301                        1.947285
               3.5722401                       1.9512998
               3.5724499                       1.9553207
                 3.57266                       1.9593476
                 3.57287                       1.9633806
               3.5730801                       1.9674194
               3.5732901                       1.9714643
               3.5734999                       1.9755152
                 3.57371                       1.9795724
                 3.57392                       1.9836353
               3.5741301                       1.9877041
               3.5743401                       1.9917792
               3.5745499                       1.9958604
                 3.57476                       1.9999473
                 3.57497                       2.0040403
               3.5751801                       2.0081395
               3.5753901                       2.0122446
               3.5755999                       2.0163556
                 3.57581                       2.0204727
                 3.57602                       2.0245959
                 3.57623                       2.0287249
               3.5764401                       2.0328601
               3.5766499                       2.0370012
                 3.57686                       2.0411485
                 3.57707                       2.0453015
                 3.57728                       2.0494606
               3.5774901                       2.0536256
               3.5776999                        2.057797
               3.5779099                        2.061974
                 3.57812                       2.0661571
                 3.57833                       2.0703464
               3.5785401                       2.0745412
               3.5787499                       2.0787426
               3.5789599                       2.0829496
                 3.57917                       2.0871627
                 3.57938                       2.0913818
               3.5795901                       2.0956068
               3.5797999                       2.0998378
               3.5800099                       2.1040746
                 3.58022                       2.1083178
                 3.58043                       2.1125667
               3.5806401                       2.1168216
               3.5808499                       2.1210826
               3.5810599                       2.1253496
                 3.58127                       2.1296224
                 3.58148                       2.1339014
               3.5816901                       2.1381861
               3.5818999                       2.1424768
               3.5821099                       2.1467737
                 3.58232                       2.1510763
                 3.58253                       2.1553851
               3.5827401                       2.1596997
               3.5829501                       2.1640202
               3.5831599                       2.1683469
                 3.58337                       2.1726793
                 3.58358                       2.1770176
               3.5837901                       2.1813622
               3.5840001                       2.1857126
               3.5842099                       2.1900689
                 3.58442                        2.194431
                 3.58463                       2.1987993
               3.5848401                       2.2031735
               3.5850501                       2.2075535
               3.5852599                       2.2119396
                 3.58547                       2.2163312
                 3.58568                        2.220729
               3.5858901                       2.2251328
               3.5861001                       2.2295425
               3.5863099                       2.2339579
                 3.58652                       2.2383795
                 3.58673                       2.2428068
               3.5869401                       2.2472402
               3.5871501                       2.2516794
               3.5873599                       2.2561243
                 3.58757                       2.2605755
                 3.58778                       2.2650323
                 3.58799                       2.2694953
               3.5882001                       2.2739638
               3.5884099                       2.2784383
               3.5886199                       2.2829186
                 3.58883                       2.2874047
                 3.58904                        2.291897
               3.5892501                        2.296395
               3.5894599                       2.3008991
               3.5896699                       2.3054087
                 3.58988                       2.3099244
                 3.59009                       2.3144458
               3.5903001                        2.318973
               3.5905099                       2.3235061
               3.5907199                       2.3280452
                 3.59093                       2.3325901
                 3.59114                       2.3371407
               3.5913501                       2.3416972
               3.5915599                       2.3462594
               3.5917699                       2.3508276
                 3.59198                       2.3554015
                 3.59219                       2.3599814
               3.5924001                       2.3645668
               3.5926099                       2.3691581
               3.5928199                       2.3737554
                 3.59303                       2.3783582
                 3.59324                       2.3829672
               3.5934501                       2.3875815
               3.5936601                       2.3922015
               3.5938699                       2.3968274
                 3.59408                       2.4014591
                 3.59429                       2.4060968
               3.5945001                         2.41074
               3.5947101                        2.415389
               3.5949199                       2.4200436
                 3.59513                        2.424704
                 3.59534                       2.4293701
               3.5955501                        2.434042
               3.5957601                       2.4387198
               3.5959699                       2.4434028
                 3.59618                        2.448092
                 3.59639                       2.4527866
               3.5966001                       2.4574868
               3.5968101                       2.4621929
               3.5970199                       2.4669047
                 3.59723                       2.4716221
                 3.59744                       2.4763447
               3.5976501                       2.4810735
               3.5978601                       2.4858077
               3.5980699                       2.4905477
                 3.59828                       2.4952931
                 3.59849                       2.5000441
                  3.5987                       2.5048009
               3.5989101                       2.5095632
               3.5991199                       2.5143311
               3.5993299                       2.5191046
                 3.59954                       2.5238838
                 3.59975                       2.5286683
               3.5999601                       2.5334584
               3.6001699                       2.5382541
               3.6003799                       2.5430553
                 3.60059                        2.547862
                  3.6008                       2.5526741
               3.6010101                       2.5574922
               3.6012199                       2.5623157
               3.6014299                       2.5671444
                 3.60164                       2.5719785
                 3.60185                        2.576818
               3.6020601                       2.5816636
               3.6022699                       2.5865141
               3.6024799                       2.5913699
                 3.60269                       2.5962314
                  3.6029                       2.6010985
               3.6031101                        2.605971
               3.6033199                       2.6108486
               3.6035299                       2.6157316
                 3.60374                       2.6206204
                 3.60395                       2.6255142
               3.6041601                       2.6304132
               3.6043701                        2.635318
               3.6045799                       2.6402278
                 3.60479                        2.645143
                   3.605                       2.6500636

