        Frequency / GHz                S1,1/abs,dB
               3.4569499                      -11.362764
                 3.45716                      -11.395243
                 3.45737                      -11.427876
               3.4575801                      -11.460664
               3.4577899                      -11.493608
               3.4579999                      -11.526707
                 3.45821                      -11.559964
                 3.45842                      -11.593383
               3.4586301                      -11.626961
               3.4588399                        -11.6607
               3.4590499                      -11.694603
                 3.45926                      -11.728671
                 3.45947                      -11.762905
               3.4596801                      -11.797304
               3.4598899                      -11.831873
               3.4600999                      -11.866612
                 3.46031                       -11.90152
                 3.46052                      -11.936603
               3.4607301                      -11.971859
               3.4609399                       -12.00729
               3.4611499                      -12.042897
                 3.46136                      -12.078684
                 3.46157                      -12.114649
               3.4617801                      -12.150797
               3.4619901                      -12.187128
               3.4621999                      -12.223642
                 3.46241                      -12.260342
                 3.46262                       -12.29723
               3.4628301                      -12.334306
               3.4630401                      -12.371575
               3.4632499                      -12.409034
                 3.46346                      -12.446688
                 3.46367                      -12.484538
               3.4638801                      -12.522584
               3.4640901                       -12.56083
               3.4642999                      -12.599277
                 3.46451                      -12.637927
                 3.46472                      -12.676781
               3.4649301                      -12.715842
               3.4651401                       -12.75511
               3.4653499                      -12.794589
                 3.46556                       -12.83428
                 3.46577                      -12.874185
               3.4659801                      -12.914305
               3.4661901                      -12.954644
               3.4663999                      -12.995203
                 3.46661                      -13.035983
                 3.46682                      -13.076987
                 3.46703                      -13.118219
               3.4672401                      -13.159676
               3.4674499                      -13.201367
                 3.46766                      -13.243289
                 3.46787                      -13.285446
                 3.46808                       -13.32784
               3.4682901                      -13.370473
               3.4684999                      -13.413349
               3.4687099                       -13.45647
                 3.46892                      -13.499836
                 3.46913                      -13.543451
               3.4693401                      -13.587319
               3.4695499                       -13.63144
               3.4697599                      -13.675818
                 3.46997                      -13.720454
                 3.47018                      -13.765354
               3.4703901                      -13.810517
               3.4705999                      -13.855947
               3.4708099                      -13.901647
                 3.47102                      -13.947623
                 3.47123                      -13.993872
               3.4714401                        -14.0404
               3.4716499                      -14.087209
               3.4718599                      -14.134304
                 3.47207                      -14.181686
                 3.47228                      -14.229359
               3.4724901                      -14.277325
               3.4727001                      -14.325589
               3.4729099                      -14.374153
                 3.47312                      -14.423021
                 3.47333                      -14.472196
               3.4735401                       -14.52168
               3.4737501                       -14.57148
               3.4739599                      -14.621597
                 3.47417                      -14.672034
                 3.47438                      -14.722797
               3.4745901                      -14.773887
               3.4748001                       -14.82531
               3.4750099                       -14.87707
                 3.47522                      -14.929169
