        Frequency / GHz                Power Accepted/real
                 3.46409                      0.47753657
                  3.4643                      0.47776141
                 3.46451                      0.47798527
                 3.46472                      0.47820815
                 3.46493                      0.47843006
                 3.46514                      0.47865098
                 3.46535                      0.47887091
                 3.46556                      0.47908985
                 3.46577                       0.4793078
                 3.46598                      0.47952475
                 3.46619                       0.4797407
                  3.4664                      0.47995564
                 3.46661                      0.48016958
                 3.46682                      0.48038251
                 3.46703                      0.48059442
                 3.46724                      0.48080532
                 3.46745                      0.48101519
                 3.46766                      0.48122404
                 3.46787                      0.48143187
                 3.46808                      0.48163867
                 3.46829                      0.48184443
                  3.4685                      0.48204916
                 3.46871                      0.48225284
                 3.46892                      0.48245549
                 3.46913                      0.48265709
                 3.46934                      0.48285764
                 3.46955                      0.48305714
                 3.46976                      0.48325558
                 3.46997                      0.48345296
                 3.47018                      0.48364929
                 3.47039                      0.48384455
                  3.4706                      0.48403874
                 3.47081                      0.48423187
                 3.47102                      0.48442392
                 3.47123                      0.48461489
                 3.47144                      0.48480478
                 3.47165                       0.4849936
                 3.47186                      0.48518132
                 3.47207                      0.48536796
                 3.47228                      0.48555351
                 3.47249                      0.48573797
                  3.4727                      0.48592133
                 3.47291                      0.48610359
                 3.47312                      0.48628474
                 3.47333                      0.48646479
                 3.47354                      0.48664374
                 3.47375                      0.48682157
                 3.47396                      0.48699829
                 3.47417                      0.48717389
                 3.47438                      0.48734837
                 3.47459                      0.48752174
                  3.4748                      0.48769397
                 3.47501                      0.48786508
                 3.47522                      0.48803506
                 3.47543                      0.48820391
                 3.47564                      0.48837162
                 3.47585                      0.48853819
                 3.47606                      0.48870363
                 3.47627                      0.48886792
                 3.47648                      0.48903106
                 3.47669                      0.48919306
                  3.4769                       0.4893539
                 3.47711                       0.4895136
                 3.47732                      0.48967213
                 3.47753                      0.48982951
                 3.47774                      0.48998573
                 3.47795                      0.49014078
                 3.47816                      0.49029467
                 3.47837                      0.49044739
                 3.47858                      0.49059894
                 3.47879                      0.49074931
